,article_title,country,population,region,revision_id,article_quality
235,Swaran Ram Darapuri,India,1417.2,SOUTH ASIA,1105248886,C
236,Jawaharlal Darda,India,1417.2,SOUTH ASIA,1097060133,Start
237,Muhammad Shafi Daudi,India,1417.2,SOUTH ASIA,1106096390,Start
238,Kanubhai Desai,India,1417.2,SOUTH ASIA,1112114660,Stub
239,Sahebrao Baradkar Deshmukh,India,1417.2,SOUTH ASIA,1023759230,Stub
240,Suresh Deshmukh,India,1417.2,SOUTH ASIA,1111277217,Stub
241,Rekha Devi,India,1417.2,SOUTH ASIA,1112678040,Stub
242,Subhash Dhote,India,1417.2,SOUTH ASIA,1096069303,Stub
243,Sohan Lal Dhusiya,India,1417.2,SOUTH ASIA,1111419397,Stub
244,Dilip Varma,India,1417.2,SOUTH ASIA,1071231049,Start
245,Dulal Chandra Das,India,1417.2,SOUTH ASIA,1085939763,Stub
246,Thirumagan Evera,India,1417.2,SOUTH ASIA,1111275675,Stub
247,Anant Gadgil,India,1417.2,SOUTH ASIA,1113024057,Stub
248,Hussain Rabi Gandhi,India,1417.2,SOUTH ASIA,1115100473,C
249,P. Geetha Jeevan,India,1417.2,SOUTH ASIA,1112658696,Start
250,Mohindra Kumar Ghosh,India,1417.2,SOUTH ASIA,1111421167,Stub
251,Bismita Gogoi,India,1417.2,SOUTH ASIA,1103316767,GA
252,Harjit Singh Grewal,India,1417.2,SOUTH ASIA,1111223564,Start
253,Janak Raj Gupta,India,1417.2,SOUTH ASIA,1110854373,Start
254,Kirat Singh Gurjar,India,1417.2,SOUTH ASIA,1107516067,Start
255,Gurnam Singh Charuni,India,1417.2,SOUTH ASIA,1113853261,C
256,Maddila Gurumoorthy,India,1417.2,SOUTH ASIA,1111458519,Start
257,Hari Shankar Mahor,India,1417.2,SOUTH ASIA,1089275471,Start
258,Harinath Debbarma,India,1417.2,SOUTH ASIA,1090913289,Stub
259,Harinder Pal Singh Chandumajra,India,1417.2,SOUTH ASIA,1101188602,Start
260,Syed Ahmad Hashmi,India,1417.2,SOUTH ASIA,1096051217,C
261,Banamali Hazra,India,1417.2,SOUTH ASIA,1098477615,Stub
262,G. Iyappan,India,1417.2,SOUTH ASIA,1111278112,Stub
263,D. P. Jadeja,India,1417.2,SOUTH ASIA,1111432864,Start
264,Pradhyumansinh Mahipatsinh Jadeja,India,1417.2,SOUTH ASIA,1112426323,Stub
265,Jagtarandas,India,1417.2,SOUTH ASIA,1066642161,Stub
266,Thekedar Madan Lal Jalalpur,India,1417.2,SOUTH ASIA,1101188615,Stub
267,Jalam Singh Rawlot,India,1417.2,SOUTH ASIA,1109454270,Stub
268,Jayant Malhoutra,India,1417.2,SOUTH ASIA,1096046315,Stub
269,J. Jayalalithaa,India,1417.2,SOUTH ASIA,1114164348,GA
270,K.N. Joglekar,India,1417.2,SOUTH ASIA,1098082285,Stub
271,Kalo Chandramani,India,1417.2,SOUTH ASIA,1111421328,Stub
272,Atul Khatik,India,1417.2,SOUTH ASIA,1111298963,Stub
273,Dariyav Khatik,India,1417.2,SOUTH ASIA,1099632072,Stub
274,Munshilal Khatik,India,1417.2,SOUTH ASIA,1107443264,Stub
275,Gurmeet Singh Khuddian,India,1417.2,SOUTH ASIA,1096416461,Start
276,Man Singh Kinsariya,India,1417.2,SOUTH ASIA,1102485294,Start
277,Konijeti Rosaiah Ministry,India,1417.2,SOUTH ASIA,1100899531,Start
278,K. M. Krishnamurthy,India,1417.2,SOUTH ASIA,1053491127,Stub
279,C. Krishnamurali,India,1417.2,SOUTH ASIA,1096044942,Stub
280,Jibesh Kumar,India,1417.2,SOUTH ASIA,1111278342,Start
281,Sukhwinder Kumar,India,1417.2,SOUTH ASIA,1101188666,Stub
282,Arun Lad,India,1417.2,SOUTH ASIA,1111298855,Start
283,Lalit Meena,India,1417.2,SOUTH ASIA,1091207252,Stub
284,Delilah Lobo,India,1417.2,SOUTH ASIA,1114403137,Start
285,G. Loganathan,India,1417.2,SOUTH ASIA,1096045640,Stub
286,Sundar Singh Majithia,India,1417.2,SOUTH ASIA,1112062213,Start
287,Gunda Mallesh,India,1417.2,SOUTH ASIA,1105767593,Stub
288,Jagannath Mallick,India,1417.2,SOUTH ASIA,1111446959,Start
289,Girindra Mallik,India,1417.2,SOUTH ASIA,1111276196,Stub
